back off | отступить
back away | отступать
be back | вернуться
be out | отсутствовать
be off | уходить
be over | окончиться
be up | проснуться
blow out | взорвать
be up to | собираться
blow up | взорваться
break in | вмешиваться
break down | расстроиться
break off | прервать
break into | вламываться
break up | прекращать
break out | вырваться
burst out | воскликнуть
calm down | успокаиваться
call back | перезвонить
catch up | догнать
carry out | выполнять
carry on | продолжать
check in | регистрироваться
check out | проверять
clean up | чистить
come across | натолкнуться
come along | сопровождать
come back | возвращаться
come by | заходить
come down | спускаться
come forward | выдвигаться
come from | взяться
come on | проходить
come off | отделяться
come in | входить
come over | приходить
come out | выходить
come up | появляться
cut out | вырезать
cut off | отрезать
count on | рассчитывать на
end up | закончить
fall off | падать
fall down | упасть
figure out | выяснить
find out | обнаружить
get along | ладить
get around | обойти
get away | уходить
get back | вернуть
get down | опустить
get in | войти
get off | выходить
get on | садиться
get out | уходить
get over | справиться
get through | проходить
get up | вставать
give up | сдаться
go along | соглашаться
go around | расхаживать
go away | уходить
go by | проходить
go back | возвращаться
go down | спускаться
go off | уходить
go in | входить
go out | выходить
go on | продолжать
go through | повторять
go over | подойти
go up | подниматься
grow up | вырастать
hang on | держи
hang around | слоняться
hang up | висеть
help out | помочь
hold out | протягивать
hold on | держаться
hold up | поднимать
keep up | поддерживать
keep on | продолжать
knock down | сносить
knock out | оглушить
knock off | уничтожить
let out | выпускать
let in | впускать
lie down | лечь
line up | выстраивать
look down | смотреть
look back | оглядываться
look forward to | ожидать
look for | искать
look over | смотреть
look out | выглядывать
make up | составлять
make out | понимать
move out | съезжать
move on | идти
move in | въезжать
pass out | распределять
point out | указывать
pick up | подобрать
pull a way | отъезжать
pull on | натягивать
pull off | снимать
pull up | подъезжать
pull out | вытаскивать
put a way | убирать
put in | вставлять
put down | положить
put out | вытягивать
put on | надевать
put up | поднимать
run into | встретить
run away | убегать
run out | выбегать
run off | удирать
run over | подбегать
set up | устраивать
set off | отправляться
set down | поставить
show up | появляться
shoot out | выскочить
settle down | усаживаться
sit down | садиться
shut up | заткнуть
sit back | откинуться на
shut down | закрыть
sit up | приподняться
stand by | приготовиться
spread out | растягивать
stand up | вставать
stand out | выделяться
stick out | торчать
switch on | включать
switch off | выключать
take away | убирать
take over | захватить
take on | приобретать
take off | снимать
take in | вбирать
take out | вынимать
take back | отдать
take up | подхватить
throw up | тошнить
turn away | отворачиваться
turn around | оборачиваться
turn down | отвергать
turn back | повернуться
turn into | превращать
turn on | включать
turn off | выключать
turn up | появляться
turn over | переворачивать
turn out | оказаться
wake up | просыпаться
walk away | уходить
walk around | ходить
walk over | подойти
walk out | выходить
walk off | уходить
walk in | входить
walk back | возвращаться
walk up | подойти
work out | понять
write down | записывать
work up | выработать
wind up | очутиться
watch out | остерегаться
